news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
NPR,In-N-Out brings 'animal style' to Tennessee with plans to expand further in the U.S.,"In-N-Out Burger is ""double-doubling"" down on growing its business, announcing it would open new locations in Tennessee, the farthest east the company has ever gone.",1600,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.37.38 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.14 PM.png,2024-10-19 20:37:38,2024-10-19 20:38:14,711,128,1200,187,31,113,11,7,7,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,"Forest lizards have genetically morphed to survive life in the city, researchers say","The Puerto Rican crested anole is genetically adapting to city life — evolving special scales to cling to walls and windows better, and growing larger limbs, scientists say.",276,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.28 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.33 PM.png,2024-10-19 20:38:28,2024-10-19 20:38:33,25,29,191,20,2,57,1,0,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,How to overcome gym intimidation and start weightlifting : Life Kit,Strength training is a great way to exercise efficiently while preventing injury. And while it's ...,424,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.39 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.44 PM.png,2024-10-19 20:38:39,2024-10-19 20:38:44,66,76,390,30,4,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,dodie: Tiny Desk Concert,"The English singer-songwriter and her band give a cathartic, playful performance at the Tiny Desk.",209,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.50 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.38.55 PM.png,2024-10-19 20:38:50,2024-10-19 20:38:55,25,15,161,45,3,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,His poem polarized India. Now comedian Vir Das is telling his side,"""Don't ever let anyone tell you how to love your own country,"" Vir Das says in his new come...",283,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.03 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.07 PM.png,2024-10-19 20:39:03,2024-10-19 20:39:07,16,11,244,28,4,2,0,0,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,"New nation, new ideas: A study finds immigrants out-innovate native-born Americans","A fascinating new study estimates that immigrants are ""substantially"" more productive as innovators than native-born Americans. Evidence also suggests that immigrants help other inventors become more productive.",1.1K,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.32 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.38 PM.png,2024-10-19 20:39:32,2024-10-19 20:39:38,218,143,906,169,19,4,1,1,9,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,Golden Globes 2023: The complete list of winners,The 80th Golden Globe Awards air Tuesday night on NBC. Here's the full list of nominees a...,1K,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.46 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.51 PM.png,2024-10-19 20:39:46,2024-10-19 20:39:51,261,99,925,39,60,4,1,2,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,4 former NWSL coaches are banned permanently following an abuse investigation,"The National Women's Soccer League has permanently banned 4 coaches and sanctioned 8 other employees after an investigation found widespread, systemic misconduct and abuse.",252,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.39.58 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.40.07 PM.png,2024-10-19 20:39:58,2024-10-19 20:40:07,11,9,198,16,4,7,2,1,24,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,"Extreme weather, fueled by climate change, cost the U.S. $165 billion in 2022.","Americans endured 18 different billion-dollar disasters linked to climate change in 2022 — totaling $165 billion in damage, a new report finds.",231,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.40.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.40.25 PM.png,2024-10-19 20:40:13,2024-10-19 20:40:25,224,34,67,0,48,21,87,5,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,A play about censorship is censored — and free speech groups are fighting back,"PEN America and two other free speech groups are calling for school officials in Florida to reinstate a high school production of Paula Vogel's Indecent, a play that is itself about censorship.",328,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.40.31 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/01-NPR/Screenshot 2024-10-19 at 8.40.37 PM.png,2024-10-19 20:40:31,2024-10-19 20:40:37,200,38,279,7,16,13,2,5,6,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
