news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
CBS_News,"Deion Sanders talks becoming ""Coach Prime"" and having faith during health scare: ""I never doubted. I never wavered.""","Nicknamed ""Prime Time"" during his NFL career, Deion Sanders' has used what he's learned to now become ""Coach Prime."" He is credited with turning the Jackson State University Tigers around, helping the team win two SWAC titles, and recruit top players.",64,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.51.32.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.52.18.png,2024-10-12 13:51:32,2024-10-12 13:52:18,6,1,53,2,3,0,0,1,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,Federal regulator considers a ban on gas stoves,"Federal regulators are considering banning gas stoves, as evidence mounts of their potential risks to human health.",74,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.52.51.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.53.08.png,2024-10-12 13:52:51,2024-10-12 13:53:08,70,31,14,0,33,6,2,19,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,Biden docs revelation fuels Republicans as they flex new power,"The revelation that a handful of documents marked classified were discovered in President Biden's former office at a think tank in Washington is fueling House Republicans' criticisms of the Justice Department, and drawing promises of investigations into the matter by the new House majority.",79,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.53.22.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.53.31.png,2024-10-12 13:53:22,2024-10-12 13:53:31,189,3,33,2,36,1,0,7,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,Bed Bath & Beyond's revenue slips as company approaches bankruptcy,"Bed Bath & Beyond reported $1.26 billion in revenue, much lower than Wall Street onlookers expected, as the home goods company struggles to strike the right balance with its shoppers.",130,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.53.40.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.54.00.png,2024-10-12 13:53:40,2024-10-12 13:54:00,33,9,54,1,5,18,49,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,"In-N-Out to open restaurants in Tennessee by 2026, company says","Popular West Coast chain In-N-Out Burger is continuing to move east, announcing Tuesday that it plans to open restaurants in Tennessee by 2026.",865,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.54.10.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.54.43.png,2024-10-12 13:54:10,2024-10-12 13:54:43,168,55,747,70,24,19,1,1,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,"Fed can't do much to fight climate change, Jerome Powell says","The Federal Reserve has only a limited role to play in combating climate change, Chair Jerome Powell said Tuesday, a stance that puts him at odds with environmental activists who have attempted to push central banks to restrict lending to energy companies.",26,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.54.55.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.55.05.png,2024-10-12 13:54:55,2024-10-12 13:55:05,8,4,7,1,10,2,0,6,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,Bob Saget's wife asks Elon Musk to re-verify late comedian's Twitter account,"One year after the sudden death of comedian Bob Saget, his wife has a request for billionaire and Twitter CEO Elon Musk: Give Saget his blue checkmark back.",171,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.55.13.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.55.25.png,2024-10-12 13:55:13,2024-10-12 13:55:25,85,14,111,7,22,5,3,0,23,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,U.S. Navy seizes thousands of assault rifles being smuggled from Iran to Yemen,"The U.S. Navy seized over 2,100 assault rifles that were being smuggled on a fishing vessel from Iran to Yemen, the maritime service branch announced on Tuesday.",63,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.55.35.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.55.45.png,2024-10-12 13:55:35,2024-10-12 13:55:45,14,6,47,4,2,9,0,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,Los Angeles County declares state of emergency over homeless crisis,"Officials in Los Angeles County approved a motion to declare a state of emergency over the region's homeless crisis on Tuesday. The declaration, officials say, will expedite supportive and material services for people who are unhoused.",40,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.55.58.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.56.07.png,2024-10-12 13:55:58,2024-10-12 13:56:07,14,1,21,0,9,3,6,0,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CBS_News,"18 extreme weather events caused $165 billion in damage last year, NOAA says","Costly weather disasters kept raining down on America last year, pounding the nation with 18 climate extremes that caused at least $1 billion in damage each — and totaling more than $165 billion — federal climate scientists calculated Tuesday.",20,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.56.16.png,https://nlp-project-screenshots.s3.amazonaws.com/CBS_News/Screenshot 2024-10-12 at 13.56.23.png,2024-10-12 13:56:16,2024-10-12 13:56:23,2,3,6,1,4,5,2,0,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
