news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
CNN,Pentagon officially rescinds Covid-19 vaccine requirement for troops,"Service members who received that discharge because of their refusal to get the vaccine can petition their individual branch for a correction of their records, Secretary of Defense Lloyd Austin said.",429,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.07 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.12 PM.png,2024-10-04 15:53:07,2024-10-04 15:53:12,345,31,243,65,16,2,16,87,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,New York man sets world record for eating at most Michelin-starred restaurants in a day,"It took the healthcare IT consultant 14 months to plan his eccentric feat, not least because he had to secure bookings at so many of the city's finest establishments.",768,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.18 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.23 PM.png,2024-10-04 15:53:18,2024-10-04 15:53:23,261,35,651,13,74,22,2,6,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Federal officials say they are acting on 'thousands' of complaints related to Southwest meltdown,These include complaints that Southwest is not making good on its pledge to issue refunds.,107,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.32 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.37 PM.png,2024-10-04 15:53:32,2024-10-04 15:53:37,40,15,95,3,5,0,2,1,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Eddie Murphy references the infamous Will Smith Oscars slap at the Golden Globes | CNN,Eddie Murphy didn’t pass up the opportunity to make a well-timed joke while accepting his career achievement Cecil B. DeMille award at Tuesday night’s Golden Globes.,5.2K,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.43 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.49 PM.png,2024-10-04 15:53:43,2024-10-04 15:53:49,440,150,3100,360,1500,28,12,17,28,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Look of the Week: Hailey Bieber's 'nepo baby' slogan tee,The phrase has been bubbling up across social media for the past year.,168,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.53.58 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.03 PM.png,2024-10-04 15:53:58,2024-10-04 15:54:03,93,10,120,4,41,1,0,2,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Volodymyr Zelenskyy tells Golden Globes attendees Ukraine will win its war with Russia | CNN,Ukrainian President Volodymyr Zelenskyy appeared in a video message during the Golden Globes telecast to thank his allies in the “free world.”,1.1K,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.09 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.16 PM.png,2024-10-04 15:54:09,2024-10-04 15:54:16,407,24,694,186,239,4,2,37,30,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Second potentially habitable Earth-size planet found orbiting nearby star,"The planet, named TOI 700 e, is likely rocky and 95% the size of our world.",4400,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.22 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.29 PM.png,2024-10-04 15:54:22,2024-10-04 15:54:29,1000,425,3600,167,216,464,2,2,17,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Disneyland is increasing the number of days it offers its cheapest admission ticket,"The $104 one-day, one-park admission price will be available ""nearly two months' worth over the coming year,"" said Josh D'Amaro, chairman of Disney parks, experiences and products.",1.3K,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.35 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.41 PM.png,2024-10-04 15:54:35,2024-10-04 15:54:41,527,89,1000,31,169,28,2,12,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Where to go ice skating 100 floors above New York City streets,"You can have your view and glide around, too.",426,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.47 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.54.59 PM.png,2024-10-04 15:54:47,2024-10-04 15:54:59,105,44,293,11,8,111,1,1,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
CNN,Ke Huy Quan thanks Spielberg for first role in moving Golden Globes acceptance speech | CNN,"“I am so happy to see Steven Spielberg here tonight – Steven, thank you!”",4.2K,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.55.23 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/CNN/Screenshot 2024-10-04 at 3.55.29 PM.png,2024-10-04 15:55:23,2024-10-04 15:55:29,136,87,3000,1100,25,2,0,1,29,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
