news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
Fox_News,Military bases get a makeover as Confederate-linked names are axed,"SO LONG, FORT BRAGG: The Pentagon's Naming Commission, led by the highest-ranking woman in U.S. Navy history, said the goal of the mission was to inspire today's soldiers and communities.",796,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.05.39 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.02 PM.png,2024-10-07 22:05:39,2024-10-07 22:06:02,926,109,201,14,18,9,57,495,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,Sarah Huckabee Sanders bans TikTok on state devices in first move as governor,More than 20 states banned the app on state-owned and government-issued devices citing security concerns.,3.7K,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.08 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.14 PM.png,2024-10-07 22:06:08,2024-10-07 22:06:14,533,67,3300,336,59,6,3,2,11,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,Pentagon drops COVID vaccine mandate for troops,"SHOT DOWN: Nearly 9,000 service members were forced out of the military as a result of the requirement.",1800,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.21 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.35 PM.png,2024-10-07 22:06:21,2024-10-07 22:06:35,607,233,1400,222,46,18,15,22,9,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,'NOBODY'S SADDER': 'Yellowstone' star Kevin Costner reveals why he's not at Golden,Kevin Costner was nominated for best actor – the show's first Golden Globe nod after five seasons.,359,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.39 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.44 PM.png,2024-10-07 22:06:39,2024-10-07 22:06:44,166,17,307,16,11,3,17,1,4,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,Air Force football player dead at 21 after collapsing on his way to class,'INCREDIBLE YOUNG MAN': The sophomore suffered a medical emergency.,13K,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.06.51 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.04 PM.png,2024-10-07 22:06:51,2024-10-07 22:07:04,5.6K,2.8K,2700,75,14,392,7900,130,2000,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,SEE IT: Biden's taxpayer-funded beach house wall is finished,The vacation home wall will reportedly cost Americans almost half a million dollars.,641,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.12 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.17 PM.png,2024-10-07 22:07:12,2024-10-07 22:07:17,674,142,126,6,42,17,5,444,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,BIG MONEY: Winning numbers drawn for $1.1B Mega Millions,The Mega Millions lottery jackpot has increased to an estimated $1.1 billion with a cash prize...,3.1K,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.23 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.29 PM.png,2024-10-07 22:07:23,2024-10-07 22:07:29,934,223,2600,102,45,269,12,7,4,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,IN THE DARK: Idaho victim's lawyer reveals if there was link to murder suspect,The families are asking anyone with information to come forward.,178,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.34 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.07.45 PM.png,2024-10-07 22:07:34,2024-10-07 22:07:45,144,19,142,1,2,5,19,7,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,‘BIGGEST FEAR’: Friend sheds light on missing mom's final hours before she vanished,"""I wondered if the children were safe.""",856,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.08.09 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.08.14 PM.png,2024-10-07 22:08:09,2024-10-07 22:08:14,215,29,484,7,0,21,283,16,45,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,Air Force football player dies on his way to class,"Hunter Brown, a sophomore center from Louisiana, died on Monday while walking from his ...",10K,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.08.26 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Fox_News/Screenshot 2024-10-07 at 10.08.32 PM.png,2024-10-07 22:08:26,2024-10-07 22:08:32,12K,6.4K,1700,34,11,385,6200,148,6200,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
