news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
MSNBC,Here's the most disturbing finding from Trump’s tax returns,"Richard W. Painter: Of all the revelations in Trump's tax returns, these details about his foreign entanglements are the most frightening.",386,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.20.04 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.20.16 PM.png,2024-10-10 16:20:04,2024-10-10 16:20:16,401,80,251,0,55,0,0,51,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Opinion | Dems need to think about economic populism as a way to win,"Economic populism is politically potent — but the devil is in the details, Zeeshan Aleem writes.",37,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.22.54 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.23.14 PM.png,2024-10-10 16:22:54,2024-10-10 16:23:14,47,5,28,4,3,1,0,0,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,GOP reps push to ‘expunge’ Trump impeachments from the record,"For some House Republicans, the goal isn't just to impeach President Biden, it's also to un-impeach his immediate predecessor. As Steve Benen writes, the GOP push to undo Donald Trump's impeachments is now officially underway.",152,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.23.25 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.23.42 PM.png,2024-10-10 16:23:25,2024-10-10 16:23:42,290,7,23,5,58,2,2,62,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Opinion | The real drama behind the proposed Musk vs. Zuckerberg cage match,"It's pretty easy to get why Musk and Zuckerberg want to knock each other out, Zeeshan Aleem writes.",159,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.23.55 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.24.10 PM.png,2024-10-10 16:23:55,2024-10-10 16:24:10,147,6,82,10,44,10,2,3,8,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Team DeSantis takes a chance by challenging the GOP’s ‘Big Lie’,"Most Republican voters still believe the ""Big Lie"" about Donald Trump's 2020 defeat. As Steve Benen writes, Ron DeSantis' 2024 operation is taking a chance by challenging those conspiratorial assumptions.",,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.24.31 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.24.41 PM.png,2024-10-10 16:24:31,2024-10-10 16:24:41,,,21,0,35,3,0,3,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Jan. 6 grand jury hears from Team Trump members as probe advances,"Donald Trump has directed much of his recent ire at the special counsel's investigation into the classified docs scandal, but as Steve Benen writes, Jack Smith's Jan. 6 probe is clearly advancing, too.",280,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.24.49 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.25.02 PM.png,2024-10-10 16:24:49,2024-10-10 16:25:02,290,36,207,46,24,0,0,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Justice Department tells Jordan (again) what he didn’t want to hear,"Eager to assist Donald Trump, Jim Jordan keeps trying to intervene in ongoing Justice Department investigations. As Steve Benen writes, the Republican’s antics also keep failing, as evidenced by Main Justice’s latest response to his efforts.",131,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.25.15 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.25.33 PM.png,2024-10-10 16:25:15,2024-10-10 16:25:33,208,12,69,4,54,0,0,4,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,PROSECUTORS SEEK TO PUSH TRIAL DATE FROM AUGUST TO DECEMBER 11 IN TRUMP CLASSIFIED DOCS CASE,"NEW: Prosecutors from special counsel Jack Smith's office filed three new motions Friday, one of which requests Judge Cannon delay former President Trump's criminal trial until December.",1900,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.25.42 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.25.58 PM.png,2024-10-10 16:25:42,2024-10-10 16:25:58,731,193,1300,120,269,106,8,59,24,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Immigration lawsuit was too crazy for even this Supreme Court,Jordan Rubin: You know a ruling is relatively good when the lone dissenter is full-time Supreme Court justice and part-time Wall Street Journal opinion writer Samuel Alito.,77,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.26.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.26.26 PM.png,2024-10-10 16:26:13,2024-10-10 16:26:26,156,13,59,2,14,1,0,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
MSNBC,Trump’s former Pentagon chief now sees him as a security threat,"Trump's former Defense secretary last year agreed that he's a ""threat to democracy."" Now, as Steve Benen writes, Mark Esper sees his former boss as a security threat, too, joining a growing chorus of critics from Trump's own administration.",185,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.26.37 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/MSNBC/Screenshot 2024-10-10 at 4.26.53 PM.png,2024-10-10 16:26:37,2024-10-10 16:26:53,196,25,148,6,26,2,1,2,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
