news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
NBC_News,Gwen Stefani claims 'I'm Japanese' in response to cultural appropriation accusations,Gwen Stefani is coming under fire after the Italian-American singer said in a new interview that she's Japanese.,284,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.35.20 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.35.30 PM.png,2024-10-17 14:35:20,2024-10-17 14:35:30,265,7,133,8,133,7,1,2,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,Brazilian judge orders arrest of Bolsonaro’s ex-minister after Brasília rampage,A Brazilian Supreme Court judge orders the arrest of the capital’s most recent public security chief after supporters of right-wing former President Bolsonaro led a rampage through government buildings.,494,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.35.36 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.35.50 PM.png,2024-10-17 14:35:36,2024-10-17 14:35:50,36,2,389,69,10,6,1,14,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,Safety official's remarks about possible gas stove ban fuel hot GOP takes about Biden,Congressional Republicans seized on comments by a member of the Consumer Product Safety Commission to argue the Biden administration was overreaching with regulations.,39,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.35.59 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.36.03 PM.png,2024-10-17 14:35:59,2024-10-17 14:36:03,77,7,19,1,13,3,0,3,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,"Outrage mounts in D.C. after man fatally shoots boy, 13, he suspected was breaking into cars","Detectives are working with the U.S. Attorney's Office to determine any potential criminal charges, police say.",227,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.36.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.36.19 PM.png,2024-10-17 14:36:13,2024-10-17 14:36:19,403,35,74,2,10,13,69,57,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,Stephanie McMahon resigns as WWE co-CEO; Vince McMahon returns as executive chairman,"Stephanie McMahon has resigned as WWE co-chief executive officer and chairwoman after her father, Vince, was unanimously re-elected as the company’s executive chairman.",1500,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.37.03 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.37.11 PM.png,2024-10-17 14:37:03,2024-10-17 14:37:11,402,172,982,23,258,145,35,52,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,Danny Masterson to face second trial on rape charges,"Prosecutors announced that they will pursue a second trial against Danny Masterson, after a jury deadlocked on three rape charges at the actor’s first trial in November.",349,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.09 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.15 PM.png,2024-10-17 14:39:09,2024-10-17 14:39:15,85,18,268,9,13,48,3,7,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,New Mexico leaders say they won't be intimidated by shots fired at their homes and offices,"A county commissioner who was among six Democratic leaders in Albuquerque, New Mexico, whose homes or offices were sprayed with gunfire says she won't let the attacks stop her from doing her job.",57,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.21 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.26 PM.png,2024-10-17 14:39:21,2024-10-17 14:39:26,16,5,27,1,3,8,4,1,13,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,Gwen Stefani claims 'I'm Japanese' in response to cultural appropriation accusations,Gwen Stefani is coming under fire after the Italian-American singer said in a new interview that she's Japanese.,166,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.35 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.41 PM.png,2024-10-17 14:39:35,2024-10-17 14:39:41,96,9,49,3,87,11,0,15,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,"After 6-year-old Virginia boy shot teacher, the question becomes will his parents be charged?","The 6-year-old boy accused of shooting his Virginia teacher Friday with a gun he took from home is unlikely to be charged, but his parents could be criminally culpable depending on if they properly secured the weapon, experts say.",108,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.49 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.39.55 PM.png,2024-10-17 14:39:49,2024-10-17 14:39:55,162,12,82,1,0,12,10,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NBC_News,Animal sanctuary rescues 'abandoned' pet pig that once belonged to Logan Paul,A California animal sanctuary is going viral after sharing how it saved an abandoned pig that it said once belonged to YouTuber Logan Paul.,2100,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.40.01 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NBC_News/Screenshot 2024-10-17 at 2.40.06 PM.png,2024-10-17 14:40:01,2024-10-17 14:40:06,465,121,1200,37,40,296,159,166,266,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
