news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
Fox_News,FOO'S FUTURE: Rock band addresses way forward year after Taylor Hawkins' death,"""We know that we're going to be a different band going forward.""",347,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.19.31 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.19.42 PM.png,2024-11-12 13:19:31,2024-11-12 13:19:42,139,30,260,16,7,4,6,0,54,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,"NEW YEAR, NEW RULES: Dozens of states see new laws on abortion, minimum wage take effect in 2023",California and New York will each begin enforcing new protections for abortion rights this week.,253,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.20.47 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.21.58 PM.png,2024-11-12 13:20:47,2024-11-12 13:21:58,576,28,135,19,4,8,12,74,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,SCARY SCENE: Eagles star carted off field on stretcher after violent first-quarter play,The player was taken to the hospital with a neck injury.,3.7K,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.22.22 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.22.29 PM.png,2024-11-12 13:22:22,2024-11-12 13:22:29,628,167,1300,23,19,173,1400,5,806,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,'MEAN' GREEN MACHINE: Dem-run state approves human composting as green burial method,"Not everyone is on board with the idea: ""Human bodies are not household waste.""",586,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.23.07 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.23.13 PM.png,2024-11-12 13:23:07,2024-11-12 13:23:13,447,56,190,30,28,76,18,242,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,HORROR ON THE TARMAC: American Airlines employee killed in freak accident involving plane's engine,The employee was reportedly a baggage handler.,1.6K,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.23.42 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.23.49 PM.png,2024-11-12 13:23:42,2024-11-12 13:23:49,390,88,389,9,3,147,997,7,53,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,"Modest Mouse drummer, co-founder Jeremiah Green, dead at 45","Drummer and co-founder of band Modest Mouse, Jeremiah Green passed away on Decem...",2.2K,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.25.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.25.20 PM.png,2024-11-12 13:25:13,2024-11-12 13:25:20,1.5K,316,516,13,5,261,1300,0,108,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,Grammy-winning singer and member of The Pointer Sisters dead at 74,REMEMBERING AN ICON: Anita was the second oldest of four sisters who initially started the group as a duo in 1969.,2.2K,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.25.46 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.25.53 PM.png,2024-11-12 13:25:46,2024-11-12 13:25:53,338,228,875,46,2,4,896,1,375,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,NYPD MACHETE ATTACK: Suspect in NYC stabbing reportedly may have Islamic extremist ties,The man is accused of slashing two officers at a security checkpoint near Times Square on New Year's Eve.,780,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.26.33 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.26.41 PM.png,2024-11-12 13:26:33,2024-11-12 13:26:41,936,110,297,3,19,85,41,333,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,Sweeping new criminal justice reform in blue state may prove to be serious issue for law enforcement,"America's ""most dangerous law"" is now in effect.",693,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.27.01 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.27.09 PM.png,2024-11-12 13:27:01,2024-11-12 13:27:09,391,53,209,5,80,80,42,274,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,DEADLY ROCKSLIDE: Couple killed in Yosemite National Park identified by officials,"Their truck was hit by rocks that fell from 1,000 feet above the road.",2400,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.27.35 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.27.42 PM.png,2024-11-12 13:27:35,2024-11-12 13:27:42,258,79,399,5,5,319,1600,3,86,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,"HOLIDAY HORROR: New Year's Eve shooting leaves 1 dead, 9 injured",Police are investigating and looking for a potential motive.,320,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.28.00 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.28.12 PM.png,2024-11-12 13:28:00,2024-11-12 13:28:12,386,34,133,2,3,10,94,75,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Fox_News,'AREN'T YOU OFFENDED?': Betty White's friend recalls questionable phrase the TV icon saw as 'compliment',"Betty White died on Dec. 31, 2021, just a few weeks shy of her 100th birthday.",2.3K,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.28.31 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.28.40 PM.png,2024-11-12 13:28:31,2024-11-12 13:28:40,317,101,1400,97,10,12,392,2,424,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,"Live Updates: Cold Impedes Rescue as Quake’s Death Toll Reaches 4,700 in Syria and Turkey","A day after an earthquake killed thousands of people in Turkey and Syria, the region is still gripped by the fear of aftershocks while rescue teams search for survivors. The death toll of 4,700 is expected to rise, possibly exponentially. Follow updates.",413,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.32.09 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.32.15 PM.png,2024-11-12 13:32:09,2024-11-12 13:32:15,95,17,126,2,3,5,242,2,33,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NY_Times,Toxic Fumes Are Released From Burning Train That Derailed in Ohio,"A rail operator released toxic fumes from several derailed train cars that they said were at risk of exploding in East Palestine, Ohio, after the authorities ordered residents on both sides of the state’s border with Pennsylvania to evacuate to avoid a deadly threat.",1.1K,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.33.37 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/NEGATIVE/Screenshot 2024-11-12 at 1.33.44 PM.png,2024-11-12 13:33:37,2024-11-12 13:33:44,35,26,303,0,14,311,429,81,29,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
