news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
NPR,The mother of a boy shot by police demands accountability after no charges are filed,"Nakala Murry says she vividly remembers when she learned about the grand jury's decision to not indict the officer. ""It was a 2-minute phone call. It took two minutes. My life changed in two minutes.""",340,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.02.20.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.02.27.png,2024-10-19 21:02:20,2024-10-19 21:02:27,102,22,86,3,1,11,137,27,75,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,New York City Council votes to ban most instances of solitary confinement,"The measure, which would ban the use of solitary confinement beyond four hours and during certain emergencies, was passed with enough votes to override a veto from Mayor Eric Adams.",352,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.02.35.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.02.43.png,2024-10-19 21:02:35,2024-10-19 21:02:43,49,18,295,37,12,1,1,1,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,"The best games of 2023, picked by the NPR staff","2023 broke video game industry records, both in the quantity and quality of acclaimed, fina…",241,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.02.55.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.03.png,2024-10-19 21:02:55,2024-10-19 21:03:03,82,26,215,14,10,0,0,1,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,"Whether you're merry or miserable, David Byrne's holiday playlist will resonate","The singer-songwriter and Talking Heads frontman presents some of his favorite holiday music — including songs by The Pogues, James Brown, LCD Soundsystem and Paul Simon.",1.4K,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.14.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.22.png,2024-10-19 21:03:14,2024-10-19 21:03:22,105,353,1100,268,2,0,0,0,4,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,Petey cuts through all the noise on 'USA',"Petey, the LA-based musician and social media personality, performs songs from his latest record, USA.",101,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.32.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.39.png,2024-10-19 21:03:32,2024-10-19 21:03:39,15,3,89,9,3,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,States are trashing troves of masks and protective gear as costly stockpiles expire,"As a deadline to allocate federal COVID-19 cash approaches next year, states must decide how much to invest in maintaining warehouses and supply stockpiles after panic buying during the pandemic.",269,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.51.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.03.59.png,2024-10-19 21:03:51,2024-10-19 21:03:59,152,16,45,1,23,19,110,69,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,"A new test could save arthritis patients time, money and pain. But will it be used?","Stories of chronic pain, drug-hopping, and insurance meddling are all too common among patients with rheumatoid arthritis. Precision medicine offers new hope.",174,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.04.09.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.04.17.png,2024-10-19 21:04:09,2024-10-19 21:04:17,44,57,144,5,0,3,1,1,20,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,The uncomfortable hidden costs behind the rise in cheap cashmere,The coveted material known for its luxurious softness has become much more accessible and affordable in recent years. But at what cost?,1.9K,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.04.26.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.04.34.png,2024-10-19 21:04:26,2024-10-19 21:04:34,284,393,908,10,11,45,779,162,65,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,There's an effective morning-after pill for STIs but it's not clear it works in women,Doxy-PEP can be taken a few hours after sex and is effective at preventing sexually transmitted infections. New research finds it's less effective for women but that may not be the final word.,83,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.04.44.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.04.51.png,2024-10-19 21:04:44,2024-10-19 21:04:51,57,11,57,1,4,13,2,2,4,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
NPR,Q&A: Author Amy Yee on Tibetan refugees in 'Far From the Rooftop of the World',"Yee moved to Dharamsala in 2009 and for a year followed the lives of exiled Tibetans there. But when they started to move elsewhere, she continued to stay in touch, learning about their lives abroad.",28,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.05.05.png,https://nlp-project-screenshots.s3.amazonaws.com/NPR2/Screenshot 2024-10-19 at 21.05.12.png,2024-10-19 21:05:05,2024-10-19 21:05:12,8,4,24,2,0,0,0,0,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
