news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
The_Boston_Globe,"At Boch Center's eclectic WasFest, whatever happens, happens - The Boston Globe","WasFest is a first-of-its-kind music series that kicks off Friday at the Boch Center. The weekend will feature live performances from jazz innovator Robert Glasper, the funky Berklee alumni group Lettuce, and the Dead cover band Dark Star Orchestra, among other artists.",29,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.37.52 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.37.59 PM.png,2024-10-10 17:37:52,2024-10-10 17:37:59,1,0,27,1,0,1,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","At Boch Center's eclectic WasFest, whatever happens, happens - The Boston Globe"
The_Boston_Globe,"Gary Washburn: Marcus Smart’s departure leaves the Celtics with a hole at point guard, but Kristaps Porzingis could level up this offense - The Boston...","The Celtics struggled offensively when it mattered in the postseason without a third option, a role Kristaps Porzingis could fill nicely.",19,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.31.16 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.31.51 PM.png,2024-10-10 17:31:16,2024-10-10 17:31:51,2,0,19,0,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,When in Dorchester ... eat at Via Cannuccia - The Boston Globe,"For antipasti, pasta, and Roman-style pizza, try Via Cannuccia in Dorchester — a neighborhood trattoria from Italian chef Stefano Quaresima.",4,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.02 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.10 PM.png,2024-10-10 17:32:02,2024-10-10 17:32:10,8,0,3,1,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,"After wild draft night, Brad Stevens reflects on latest offseason moves - The Boston Globe","Brad Stevens met with the media at the Auerbach Center early Friday morning to discuss the recent moves including the Kristaps Porzingis trade, Jordan Walsh pick, and other offseason matters. Here are the highlights.",6,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.17 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.26 PM.png,2024-10-10 17:32:17,2024-10-10 17:32:26,1,0,4,0,0,0,2,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,Globe Magazine: My essential Boston summer playlist from the ‘70s to the ‘90s - The Boston Globe,"For music historian and Boston native Dart Adams, these songs capture the city’s essence and showcase its immense talent.",2,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.33 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.41 PM.png,2024-10-10 17:32:33,2024-10-10 17:32:41,1,0,1,1,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,"Globe Magazine: 10 great New England beach reads, from old standbys to new classics - The Boston Globe","These books with ties to the region — including memoir, romance, and crime — will keep you turning pages all summer.",6,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.48 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.32.59 PM.png,2024-10-10 17:32:48,2024-10-10 17:32:59,0,1,6,0,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,Harvard Art Museums announce free admission for all visitors - The Boston Globe,The Harvard Art Museums announced a new free admission policy for their three museums and four research centers.,102,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.06 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.13 PM.png,2024-10-10 17:33:06,2024-10-10 17:33:13,2,21,85,14,0,2,0,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,Logan Airport workers stage one-day walkout - The Boston Globe,"Dozens of ramp workers and cabin cleaners at Logan Airport walked off the job Friday morning to protest what they say are retaliatory actions taken by their employer, Swissport USA, as the workers organize a union.",2,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.20 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.26 PM.png,2024-10-10 17:33:20,2024-10-10 17:33:26,1,0,1,0,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,"Globe Magazine: The best New England beaches for kids, foodies, accessibility and more - The Boston Globe","Whether you’re a surfer, foodie, or dog lover, the region offers a beach to suit your needs. Here are beaches in 12 categories that stand out from the rest.",6,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.33 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.48 PM.png,2024-10-10 17:33:33,2024-10-10 17:33:48,,,6,0,0,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Boston_Globe,Supreme Court allows a Biden policy to take effect focusing deportations on public safety risks - The Boston Globe,The Supreme Court said Friday it will no longer stand in the way of a long-blocked Biden administration policy to prioritize the deportation of immigrants who are deemed to pose the greatest public safety risk or were picked up at the border.,6,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.33.55 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Boston_Globe/Screenshot 2024-10-10 at 5.34.02 PM.png,2024-10-10 17:33:55,2024-10-10 17:34:02,12,0,5,0,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
