news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
The_Wall_Street_Journal,Would You Zap Yourself With Electricity to Get Into Shape?,One of the latest trends in boutique fitness is electrifying. Literally.,27,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.07.51 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.07.55 PM.png,2024-10-14 16:07:51,2024-10-14 16:07:55,4,3,25,0,1,0,0,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,Tesla Considers $775 Million Texas Factory Expansion,"Tesla is considering more than $775 million in expansions at its electric-vehicle plant near Austin, Texas, an indication the auto maker is maintaining production growth ambitions in the face of Wall Street concerns over demand for its cars.",108,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.00 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.05 PM.png,2024-10-14 16:08:00,2024-10-14 16:08:05,15,3,88,4,12,2,0,1,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,Steven Spielberg’s ‘The Fabelmans’ Wins Best Drama,"“The Fabelmans,” Steven Spielberg’s tale of a childhood indoctrination in cinema, won the award for best motion picture drama at the Golden Globes.",184,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.24 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.28 PM.png,2024-10-14 16:08:24,2024-10-14 16:08:28,83,4,150,9,22,0,0,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,Abbott Elementary' Is a Golden Globes Favorite,"Abbott Elementary' won three awards at the Golden Globes, including the award for best TV series musical or comedy. The ABC sitcom about Philadelphia elementary school teachers is a critical darling and the only series on broadcast network television to get top award recognition this year.",273,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.33 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.38 PM.png,2024-10-14 16:08:33,2024-10-14 16:08:38,38,6,211,48,10,1,0,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,An Absent Cate Blanchett Wins Best Actress in Motion Picture Drama,"Cate Blanchett proved herself a movie maestro in “Tár,” earning a best actress Golden Globes award for her performance as a conductor whose world-class career disintegrates in controversy. The win propels Blanchett toward what many awards observers predict will be her third Oscar award.",263,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.45 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.08.53 PM.png,2024-10-14 16:08:45,2024-10-14 16:08:53,7,10,227,30,0,3,0,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,Austin Butler Accepts Win for ‘Elvis’— With a Drawl,Austin Butler won best performance by an actor in a motion picture-drama for his role as the King of Rock in the Baz Luhrmann lively biopic “Elvis.”,280,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.00 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.04 PM.png,2024-10-14 16:09:00,2024-10-14 16:09:04,20,4,213,59,3,1,0,2,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,The Rare Heart Phenomenon Thought to Have Caused Damar Hamlin’s Collapse,"Commotio cordis, the phenomenon named as the leading explanation for Damar Hamlin’s cardiac arrest after an on-field hit, is notorious but rare in sports—and considered even more rare in football.",317,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.11 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.19 PM.png,2024-10-14 16:09:11,2024-10-14 16:09:19,771,30,164,1,113,22,2,6,9,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,Actor Aldis Hodge’s Career Changed After a Tip From Samuel L. Jackson on a ‘Die Hard’ Set,"On the set of “Die Hard With a Vengeance,” Samuel L. Jackson gave Aldis Hodge’s mom acting advice. “He advised Broadway … where we learned a different side of performing—dedication to the craft.”",195,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.25 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.30 PM.png,2024-10-14 16:09:25,2024-10-14 16:09:30,6,1,185,6,1,0,0,0,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,"Opinion | Joe Biden, the El Paso Kid","The most telling feature of Biden’s border remarks was his attempt to wash his hands of any responsibility, writes William McGurn.",58,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.35 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.38 PM.png,2024-10-14 16:09:35,2024-10-14 16:09:38,44,5,35,0,11,1,1,10,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Wall_Street_Journal,‘Spare’ Review: Titled and Entitled,"Review: In his score-settling memoir ""Spare,"" Prince Harry rails at his family for selling him out to the tabloids yet has no problem telling tales out of palace himself.",52,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.44 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Wall_Street_Journal/Screenshot 2024-10-14 at 4.09.49 PM.png,2024-10-14 16:09:44,2024-10-14 16:09:49,11,0,40,0,9,0,1,2,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
