news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
The_Washington_Post,Analysis | The Trump and Biden classified-document revelations are not the same,"Trump and his allies have, predictably, tried to draw this comparison, looping in funding that Penn has received from China. But, just as the fundamental issue with the Trump documents is not whether they were classified, the situations with the two presidents are not obviously comparable in the way that Trump suggests, writes Philip Bump in Analysis.",191,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.04 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.15 PM.png,2024-10-02 16:12:04,2024-10-02 16:12:15,278,19,156,3,29,1,0,2,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,Hundreds stranded for hours on Amtrak train in rural South Carolina,"The trip from Virginia to Florida was supposed to take 17 hours. More than 30 hours later, it...",267,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.23 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.32 PM.png,2024-10-02 16:12:23,2024-10-02 16:12:32,15,10,93,1,3,98,61,2,9,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,Brazil judge orders arrest of top security officials in Brasília riot,President Luiz Inácio Lula da Silva and members of the supreme court have accused the police of colluding with the rioters who occupied and vandalized the buildings on Sunday.,162,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.40 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.47 PM.png,2024-10-02 16:12:40,2024-10-02 16:12:47,10,8,150,2,3,5,1,0,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,"U.S., Japan set to announce shake-up of Marine Corps units to deter China","In a deepening of the two countries’ strategic alliance, a Marine regiment on Okinawa will be equipped with advanced capabilities, such as missiles that could be fired at Chinese ships.",240,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.12.54 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.13.03 PM.png,2024-10-02 16:12:54,2024-10-02 16:13:03,12,8,198,9,4,22,0,2,5,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,Opinion | How the Biden administration can slow the GOP’s dangerous schemes,"The rules package that House Republicans passed Monday night provides an indication of just how much damage House Speaker Kevin McCarthy (R-Calif.) has wrought in capitulating to the most extreme members of his caucus. The good news is that the Biden administration can thwart McCarthy’s schemes, writes Jennifer Rubin in Opinions.",153,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.13.11 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.13.19 PM.png,2024-10-02 16:13:11,2024-10-02 16:13:19,81,11,130,2,17,0,0,4,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,"Cardinal George Pell, convicted then acquitted of child sex abuse, dies at 81","Cardinal George Pell, a conservative theologian and top adviser to Pope Francis who was acquitted after becoming the most senior Catholic cleric to be convicted of sexually assaulting children, died Tuesday in Rome. He was 81.",168,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.13.29 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.13.50 PM.png,2024-10-02 16:13:29,2024-10-02 16:13:50,109,11,101,5,21,3,4,32,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,Pentagon ends coronavirus vaccine mandate that fueled political uproar,"The Pentagon rescinded its order that all military personnel receive a coronavirus vaccine, a move that senior leaders opposed. The Defense Department will no longer discipline or remove service members for vaccine refusal, but will encourage immunization.",2.5K,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.00 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.11 PM.png,2024-10-02 16:14:00,2024-10-02 16:14:11,156,17,1400,366,63,27,118,490,19,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,Perspective | A woman on the moon: How has one small step taken so long?,"NASA is now several years into the Artemis spaceflight program, which plans to be the first series of missions since Apollo in the 1960s-1970s to land astronauts on the moon. The moon astronauts will include an astronaut of color and a woman. How do you put a woman on the moon? As Monica Hesse writes, the question has more to do with culture and sociology than it does science and technology.",432,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.20 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.28 PM.png,2024-10-02 16:14:20,2024-10-02 16:14:28,183,28,345,31,46,5,1,0,4,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,"Here’s who is headlining Coachella, Bonnaroo, Boston Calling in 2023","Coachella will feature Bad Bunny, Blackpink and Frank Ocean, its first all non-white headliners. The cheapest tickets — which start at $499 plus a $50 fee — for the first weekend of this year’s festival have already sold out.",180,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.36 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.43 PM.png,2024-10-02 16:14:36,2024-10-02 16:14:43,74,9,123,11,38,4,1,2,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
The_Washington_Post,Opinion | Biden’s shift on immigration acknowledges the obvious,You can be for a compassionate system and a secure border at the same time.,89,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.14.54 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/The_Washington_Post/Screenshot 2024-10-02 at 4.15.03 PM.png,2024-10-02 16:14:54,2024-10-02 16:15:03,51,7,71,1,13,1,0,2,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
