news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
Time,'Everything Everywhere All At Once' May Be Too Trippy for Its Own Good-But Michelle Yeoh Still Dazzles,"Michelle Yeoh may have begun her career as an action star, but she also has a face that holds you. She's equal parts gravity and celestial radiance.",387,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.21.17 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.21.24 PM.png,2024-10-10 13:21:17,2024-10-10 13:21:24,16,17,304,78,0,2,0,1,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,Divided Washington Heading Toward Debt-Ceiling Standoff,"The federal government is on track to max out on its borrowing authority as soon as this month, setting up a showdown between President Joe Biden and the new House Republican majority—with the fragile global economy at stake.",21,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.21.30 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.21.38 PM.png,2024-10-10 13:21:30,2024-10-10 13:21:38,5,0,11,0,2,0,1,6,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,Read Jerrod Carmichael's Full Golden Globes Monologue,"For all of its controversy—racial, financial, ethical, and more—the Hollywood Foreign Press Association made one smart recent decision: to hire Jerrod Carmichael as the host of the 80th Annual Golden Globes on Tuesday night.",232,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.21.44 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.21.53 PM.png,2024-10-10 13:21:44,2024-10-10 13:21:53,45,10,175,33,20,1,2,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,The Best and Worst Moments of the 2023 Golden Globe Awards,"From endearing speeches by Jennifer Coolidge and Ke Huy Quan to Jerrod Carmichael's biting humor, here are the best and worst moments of the 2023 Golden Globe awards.",81,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.01 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.05 PM.png,2024-10-10 13:22:01,2024-10-10 13:22:05,13,4,70,5,6,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,Damar Hamlin's Fundraiser for Kids Receives Over $8 Million,Buffalo Bills safety Damar Hamlin plans to support young people through education and sports with the $8.6 million in GoFundMe donations that unexpectedly poured into his toy drive fundraiser after he suffered a cardiac arrest in the middle of a game last week.,140,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.12 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.17 PM.png,2024-10-10 13:22:12,2024-10-10 13:22:17,7,13,103,30,0,1,0,0,6,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,What the Potential Ban on Gas Stoves Means If You Have One,"A federal agency is considering a ban on gas stoves amid rising concern about the health risks associated with indoor air pollution from the appliances, particularly among children.",24,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.26 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.31 PM.png,2024-10-10 13:22:26,2024-10-10 13:22:31,17,4,15,0,1,3,0,5,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,George Santos Faces Uphill Battle to Be an Effective Congressman,Republican Rep. George Santos of New York may find it more difficult than the typical freshman lawmaker to deliver results.,13,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.54 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.22.59 PM.png,2024-10-10 13:22:54,2024-10-10 13:22:59,7,1,8,0,2,0,0,3,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,At Least 14 People Killed in Violent Flooding Across California. Here's What to Know,"A combination of torrential rain, violent flooding, and powerful wind in California has killed at least 14 people since Sunday, led to evacuation orders for tens of thousands of people, and left more than 150,000 electric customers without power.",27,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.23.13 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.23.18 PM.png,2024-10-10 13:23:13,2024-10-10 13:23:18,5,2,11,0,1,1,13,0,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,Prince Harry Says Camilla Isn't an 'Evil Stepmother.' His Book Begs to Differ,"In his newly released memoir, ""Spare,"" Prince Harry describes a complicated relationship with Camilla Parker Bowles.",26,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.23.24 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.23.29 PM.png,2024-10-10 13:23:24,2024-10-10 13:23:29,9,2,14,0,7,4,0,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
Time,George Santos Represents Why Americans Hate Government,"Santos is a personification of the adage that all politicians lie. His saving grace may be a weak House Speaker, writes Philip Elliott for The D.C. Brief",16,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.23.36 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/Time/Screenshot 2024-10-10 at 1.23.40 PM.png,2024-10-10 13:23:36,2024-10-10 13:23:40,5,1,12,0,0,2,0,2,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
