news_org,title,summary,total_reactions,article_screenshot_s3_link,reactions_screenshot_s3_link,article_sc_date,reactions_sc_date,total_comments,total_shares,total_like,total_love,total_haha,total_wow,total_sad,total_angry,total_care,unrecognized_total,prompt_used_for_article_scrapping,prompt_used_for_reactions_scrapping
USA_Today,Ian's deadly path: A visual look at how the hurricane devastated Florida region by region,"Tuesday 10 January 2023 at 00:58 with monstrous results. It brought destruction not just to one region but to much of Florida, in the form of deadly storm surge, wind damage, river and inland flooding and beach erosion. It also caused at least 144 deaths.",240,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.33.30 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.33.38 PM.png,2024-10-16 13:33:30,2024-10-16 13:33:38,39,34,225,1,1,2,11,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,"Way-too-early college football Top 25: Georgia, Michigan out front in look at 2023 season",Two SEC teams and two Big Ten teams are featured in the USA TODAY Sports way-too-early Top 25 for next season.,719,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.33.45 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.33.57 PM.png,2024-10-16 13:33:45,2024-10-16 13:33:57,115,46,681,20,13,2,1,0,2,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,Are California's storms normal?,"Because much of the state has been in drought conditions for so long, many residents either have forgotten, or never experienced, just how wet things can get. The last truly wet period was in the 1990s. But the state's climate is intrinsically variable.",300,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.04 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.13 PM.png,2024-10-16 13:34:04,2024-10-16 13:34:13,69,47,271,4,13,7,2,0,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,"As Biden hunts for answers to migrant crisis, his policies are increasingly tied up in court","""The Biden administration promised a humane asylum system but thus far its border policies have too closely resembled those of the Trump administration's,"" said Lee Gelernt, an ACLU attorney who was the lead counsel in previous challenges.",208,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.21 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.28 PM.png,2024-10-16 13:34:21,2024-10-16 13:34:28,53,37,200,1,5,0,1,1,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,Trump's influence looms large as Michiganders eye open US Senate seat,"Republicans say they will compete for Debbie Stabenow's open Senate seat in 2024, but wi...",223,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.37 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.45 PM.png,2024-10-16 13:34:37,2024-10-16 13:34:45,81,37,209,7,3,0,1,3,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,,The group behind the No Trousers Tube Ride event bills it as “an international celebration of silliness.”,440,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.34.55 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.09 PM.png,2024-10-16 13:34:55,2024-10-16 13:35:09,79,106,358,9,62,4,2,4,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,"The biggest bombshells from Prince Harry's 'Spare': Physical attacks, drug use, Diana's death and more","Prince Harry's new tell-all memoir ""Spare"" (Random House, 416 pp., out today) has already made droves of headlines thanks to leaked copies ahead of release. But there's still plenty to learn from the book, which delivers tons of drama and insider knowledge of the inner workings of the royal family, but also a thoughtful, nuanced recollection of the biggest stories the public thought it knew about Harry. The memoir is rife with bombshell revelations. These are the biggest things we learned.",260,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.16 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.24 PM.png,2024-10-16 13:35:16,2024-10-16 13:35:24,74,29,249,4,2,0,0,2,3,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,No apparent end in sight to the war in Ukraine.,Iran's nuclear capabilities appear to be increasing. Political backlash to efforts to curtail global warming. A fragile peace in Ethiopia's Tigray region. These are just some international story lines that are likely to dominate global headlines in 2023.,320,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.31 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.40 PM.png,2024-10-16 13:35:31,2024-10-16 13:35:40,52,100,312,2,0,2,4,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,Passengers on Royal Caribbean's Harmony of the Seas weren't too harmonious when a pool overflowed following the ship's hard maneuver to avoid hitting a raft at sea.,Passengers on Royal Caribbean's Harmony of the Seas weren't too harmonious when a pool overflowed following the ship's hard maneuver to avoid hitting a raft at sea.,629,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.48 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.35.59 PM.png,2024-10-16 13:35:48,2024-10-16 13:35:59,185,154,405,4,28,190,1,0,1,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
USA_Today,"IRS raises 2023 retirement savings cap, but few even hit it. Here's what you can do about it.","Most of the news on inflation has been bad, but retirement savers may have been given a silver lining – if they’re savers and if they can afford to take advantage of it. 💰",249,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.36.05 PM.png,https://nlp-project-screenshots.s3.amazonaws.com/USA_Today/Screenshot 2024-10-16 at 1.36.12 PM.png,2024-10-16 13:36:05,2024-10-16 13:36:12,33,31,247,1,1,0,0,0,0,,"Extract the following information from the given screenshot and return the response in JSON format:
'news_org': The name of the news organization that appears at the top of the screenshot.
'title': The title of the news article as scraped from the screenshot. this text in Bold.
'summary': The summary of the article, typically found at the top and of the image and below the organization name and date.
'total_reactions': The total number of reactions shown in the post (likes, dislikes, etc.).
'total_comments': The total number of comments displayed in the post.
'total_shares': The total number of shares shown in the post.
Please respond in JSON format.","Give me the count for each emoji reaction in JSON, the order of reactions is by their count and it starts horizontally,       and if there is the word 'More' they will continue being listed vertically under the word 'More'. Here's the list of possible emojis:     like (blue circle with thumbs up), love (red circle with a white shaped heart), haha (laughing emoji),     angry (angy emoji that is red),     wow (yellow emoji with 3 inner black circles),     care (it is the hug emoji, that is a yellow shaped with a red heart and two inner black circles), sad (yellow circle with a blue drop on the left).      unrecognized emoji count (this is the count of for emoji that you did not recognize from the above list)        Please respect the given order and give me the exact number for each and the name in JSON response should be the unique word of each emoji. Missing emojis from the image should return a total of Zero. Add an optional field for text in the background."
